,region,type of household,contents,year,value
3833,Hattfjelldal,Lone parent with older children (youngest child 6-17 years),Households,2019,19
3834,Hattfjelldal,One family households with adult children (youngest child 18 years and over,Households,2019,57
3835,Hattfjelldal,Two or more-family households without resident children 0-17 years,Households,2019,12
3836,Hattfjelldal,Two or more-family households with small children (youngest child 0-5 years),Households,2019,9
3837,Hattfjelldal,Two or more-family households with older children (youngest child 6-17 years),Households,2019,9
3838,Hattfjelldal,Other housesholds,Households,2019,0
3839,Dønna,Living alone,Households,2019,249
3840,Dønna,Couple without resident children,Households,2019,176
3841,Dønna,Couple with small children (youngest child 0-5 years),Households,2019,34
3842,Dønna,Couple with older children (youngest child 6-17 years),Households,2019,75
3843,Dønna,Lone parent with small children (youngest child 0-5 years),Households,2019,6
3844,Dønna,Lone parent with older children (youngest child 6-17 years),Households,2019,19
3845,Dønna,One family households with adult children (youngest child 18 years and over,Households,2019,52
3846,Dønna,Two or more-family households without resident children 0-17 years,Households,2019,11
3847,Dønna,Two or more-family households with small children (youngest child 0-5 years),Households,2019,3
3848,Dønna,Two or more-family households with older children (youngest child 6-17 years),Households,2019,5
3849,Dønna,Other housesholds,Households,2019,0
3850,Nesna,Living alone,Households,2019,360
3851,Nesna,Couple without resident children,Households,2019,204
3852,Nesna,Couple with small children (youngest child 0-5 years),Households,2019,61
3853,Nesna,Couple with older children (youngest child 6-17 years),Households,2019,92
3854,Nesna,Lone parent with small children (youngest child 0-5 years),Households,2019,7
3855,Nesna,Lone parent with older children (youngest child 6-17 years),Households,2019,27
3856,Nesna,One family households with adult children (youngest child 18 years and over,Households,2019,55
3857,Nesna,Two or more-family households without resident children 0-17 years,Households,2019,25
3858,Nesna,Two or more-family households with small children (youngest child 0-5 years),Households,2019,7
3859,Nesna,Two or more-family households with older children (youngest child 6-17 years),Households,2019,8
3860,Nesna,Other housesholds,Households,2019,0
3861,Hemnes,Living alone,Households,2019,795
3862,Hemnes,Couple without resident children,Households,2019,544
3863,Hemnes,Couple with small children (youngest child 0-5 years),Households,2019,160
3864,Hemnes,Couple with older children (youngest child 6-17 years),Households,2019,199
3865,Hemnes,Lone parent with small children (youngest child 0-5 years),Households,2019,24
3866,Hemnes,Lone parent with older children (youngest child 6-17 years),Households,2019,84
3867,Hemnes,One family households with adult children (youngest child 18 years and over,Households,2019,164
3868,Hemnes,Two or more-family households without resident children 0-17 years,Households,2019,48
3869,Hemnes,Two or more-family households with small children (youngest child 0-5 years),Households,2019,23
3870,Hemnes,Two or more-family households with older children (youngest child 6-17 years),Households,2019,13
3871,Hemnes,Other housesholds,Households,2019,0
3872,Rana,Living alone,Households,2019,4377
3873,Rana,Couple without resident children,Households,2019,3187
3874,Rana,Couple with small children (youngest child 0-5 years),Households,2019,1028
3875,Rana,Couple with older children (youngest child 6-17 years),Households,2019,1344
3876,Rana,Lone parent with small children (youngest child 0-5 years),Households,2019,138
3877,Rana,Lone parent with older children (youngest child 6-17 years),Households,2019,474
3878,Rana,One family households with adult children (youngest child 18 years and over,Households,2019,935
3879,Rana,Two or more-family households without resident children 0-17 years,Households,2019,311
3880,Rana,Two or more-family households with small children (youngest child 0-5 years),Households,2019,67
3881,Rana,Two or more-family households with older children (youngest child 6-17 years),Households,2019,73
3882,Rana,Other housesholds,Households,2019,0
3883,Lurøy,Living alone,Households,2019,378
3884,Lurøy,Couple without resident children,Households,2019,212
3885,Lurøy,Couple with small children (youngest child 0-5 years),Households,2019,74
3886,Lurøy,Couple with older children (youngest child 6-17 years),Households,2019,79
3887,Lurøy,Lone parent with small children (youngest child 0-5 years),Households,2019,13
3888,Lurøy,Lone parent with older children (youngest child 6-17 years),Households,2019,21
3889,Lurøy,One family households with adult children (youngest child 18 years and over,Households,2019,72
3890,Lurøy,Two or more-family households without resident children 0-17 years,Households,2019,25
3891,Lurøy,Two or more-family households with small children (youngest child 0-5 years),Households,2019,5
3892,Lurøy,Two or more-family households with older children (youngest child 6-17 years),Households,2019,6
3893,Lurøy,Other housesholds,Households,2019,0
3894,Træna,Living alone,Households,2019,83
3895,Træna,Couple without resident children,Households,2019,44
3896,Træna,Couple with small children (youngest child 0-5 years),Households,2019,14
3897,Træna,Couple with older children (youngest child 6-17 years),Households,2019,23
3898,Træna,Lone parent with small children (youngest child 0-5 years),Households,2019,3
3899,Træna,Lone parent with older children (youngest child 6-17 years),Households,2019,11
3900,Træna,One family households with adult children (youngest child 18 years and over,Households,2019,15
3901,Træna,Two or more-family households without resident children 0-17 years,Households,2019,11
3902,Træna,Two or more-family households with small children (youngest child 0-5 years),Households,2019,0
3903,Træna,Two or more-family households with older children (youngest child 6-17 years),Households,2019,0
3904,Træna,Other housesholds,Households,2019,0
3905,Rødøy,Living alone,Households,2019,216
3906,Rødøy,Couple without resident children,Households,2019,123
3907,Rødøy,Couple with small children (youngest child 0-5 years),Households,2019,43
3908,Rødøy,Couple with older children (youngest child 6-17 years),Households,2019,55
3909,Rødøy,Lone parent with small children (youngest child 0-5 years),Households,2019,5
3910,Rødøy,Lone parent with older children (youngest child 6-17 years),Households,2019,15
3911,Rødøy,One family households with adult children (youngest child 18 years and over,Households,2019,39
3912,Rødøy,Two or more-family households without resident children 0-17 years,Households,2019,15
3913,Rødøy,Two or more-family households with small children (youngest child 0-5 years),Households,2019,14
3914,Rødøy,Two or more-family households with older children (youngest child 6-17 years),Households,2019,1
3915,Rødøy,Other housesholds,Households,2019,0
3916,Meløy,Living alone,Households,2019,1072
3917,Meløy,Couple without resident children,Households,2019,743
3918,Meløy,Couple with small children (youngest child 0-5 years),Households,2019,247
3919,Meløy,Couple with older children (youngest child 6-17 years),Households,2019,287
3920,Meløy,Lone parent with small children (youngest child 0-5 years),Households,2019,31
3921,Meløy,Lone parent with older children (youngest child 6-17 years),Households,2019,105
3922,Meløy,One family households with adult children (youngest child 18 years and over,Households,2019,234
3923,Meløy,Two or more-family households without resident children 0-17 years,Households,2019,80
3924,Meløy,Two or more-family households with small children (youngest child 0-5 years),Households,2019,16
3925,Meløy,Two or more-family households with older children (youngest child 6-17 years),Households,2019,19
3926,Meløy,Other housesholds,Households,2019,0
3927,Gildeskål,Living alone,Households,2019,390
3928,Gildeskål,Couple without resident children,Households,2019,249
3929,Gildeskål,Couple with small children (youngest child 0-5 years),Households,2019,67
3930,Gildeskål,Couple with older children (youngest child 6-17 years),Households,2019,78
3931,Gildeskål,Lone parent with small children (youngest child 0-5 years),Households,2019,10
3932,Gildeskål,Lone parent with older children (youngest child 6-17 years),Households,2019,31
3933,Gildeskål,One family households with adult children (youngest child 18 years and over,Households,2019,84
3934,Gildeskål,Two or more-family households without resident children 0-17 years,Households,2019,22
3935,Gildeskål,Two or more-family households with small children (youngest child 0-5 years),Households,2019,3
3936,Gildeskål,Two or more-family households with older children (youngest child 6-17 years),Households,2019,11
3937,Gildeskål,Other housesholds,Households,2019,0
3938,Beiarn,Living alone,Households,2019,161
3939,Beiarn,Couple without resident children,Households,2019,151
3940,Beiarn,Couple with small children (youngest child 0-5 years),Households,2019,27
3941,Beiarn,Couple with older children (youngest child 6-17 years),Households,2019,29
3942,Beiarn,Lone parent with small children (youngest child 0-5 years),Households,2019,4
3943,Beiarn,Lone parent with older children (youngest child 6-17 years),Households,2019,15
3944,Beiarn,One family households with adult children (youngest child 18 years and over,Households,2019,63
3945,Beiarn,Two or more-family households without resident children 0-17 years,Households,2019,10
3946,Beiarn,Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
3947,Beiarn,Two or more-family households with older children (youngest child 6-17 years),Households,2019,7
3948,Beiarn,Other housesholds,Households,2019,0
3949,Saltdal,Living alone,Households,2019,790
3950,Saltdal,Couple without resident children,Households,2019,584
3951,Saltdal,Couple with small children (youngest child 0-5 years),Households,2019,170
3952,Saltdal,Couple with older children (youngest child 6-17 years),Households,2019,207
3953,Saltdal,Lone parent with small children (youngest child 0-5 years),Households,2019,26
3954,Saltdal,Lone parent with older children (youngest child 6-17 years),Households,2019,66
3955,Saltdal,One family households with adult children (youngest child 18 years and over,Households,2019,169
3956,Saltdal,Two or more-family households without resident children 0-17 years,Households,2019,65
3957,Saltdal,Two or more-family households with small children (youngest child 0-5 years),Households,2019,15
3958,Saltdal,Two or more-family households with older children (youngest child 6-17 years),Households,2019,16
3959,Saltdal,Other housesholds,Households,2019,0
3960,Fauske - Fuosko,Living alone,Households,2019,1701
3961,Fauske - Fuosko,Couple without resident children,Households,2019,1214
3962,Fauske - Fuosko,Couple with small children (youngest child 0-5 years),Households,2019,348
3963,Fauske - Fuosko,Couple with older children (youngest child 6-17 years),Households,2019,448
3964,Fauske - Fuosko,Lone parent with small children (youngest child 0-5 years),Households,2019,46
3965,Fauske - Fuosko,Lone parent with older children (youngest child 6-17 years),Households,2019,167
3966,Fauske - Fuosko,One family households with adult children (youngest child 18 years and over,Households,2019,399
3967,Fauske - Fuosko,Two or more-family households without resident children 0-17 years,Households,2019,117
3968,Fauske - Fuosko,Two or more-family households with small children (youngest child 0-5 years),Households,2019,20
3969,Fauske - Fuosko,Two or more-family households with older children (youngest child 6-17 years),Households,2019,29
3970,Fauske - Fuosko,Other housesholds,Households,2019,0
3971,Sørfold,Living alone,Households,2019,344
3972,Sørfold,Couple without resident children,Households,2019,252
3973,Sørfold,Couple with small children (youngest child 0-5 years),Households,2019,67
3974,Sørfold,Couple with older children (youngest child 6-17 years),Households,2019,86
3975,Sørfold,Lone parent with small children (youngest child 0-5 years),Households,2019,12
3976,Sørfold,Lone parent with older children (youngest child 6-17 years),Households,2019,39
3977,Sørfold,One family households with adult children (youngest child 18 years and over,Households,2019,72
3978,Sørfold,Two or more-family households without resident children 0-17 years,Households,2019,22
3979,Sørfold,Two or more-family households with small children (youngest child 0-5 years),Households,2019,6
3980,Sørfold,Two or more-family households with older children (youngest child 6-17 years),Households,2019,12
3981,Sørfold,Other housesholds,Households,2019,0
3982,Steigen,Living alone,Households,2019,488
3983,Steigen,Couple without resident children,Households,2019,329
3984,Steigen,Couple with small children (youngest child 0-5 years),Households,2019,80
3985,Steigen,Couple with older children (youngest child 6-17 years),Households,2019,102
3986,Steigen,Lone parent with small children (youngest child 0-5 years),Households,2019,13
3987,Steigen,Lone parent with older children (youngest child 6-17 years),Households,2019,31
3988,Steigen,One family households with adult children (youngest child 18 years and over,Households,2019,95
3989,Steigen,Two or more-family households without resident children 0-17 years,Households,2019,40
3990,Steigen,Two or more-family households with small children (youngest child 0-5 years),Households,2019,9
3991,Steigen,Two or more-family households with older children (youngest child 6-17 years),Households,2019,11
3992,Steigen,Other housesholds,Households,2019,0
3993,Hamarøy - Hábmer (-2019),Living alone,Households,2019,392
3994,Hamarøy - Hábmer (-2019),Couple without resident children,Households,2019,221
3995,Hamarøy - Hábmer (-2019),Couple with small children (youngest child 0-5 years),Households,2019,47
3996,Hamarøy - Hábmer (-2019),Couple with older children (youngest child 6-17 years),Households,2019,62
3997,Hamarøy - Hábmer (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,7
3998,Hamarøy - Hábmer (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,23
3999,Hamarøy - Hábmer (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,68
4000,Hamarøy - Hábmer (-2019),Two or more-family households without resident children 0-17 years,Households,2019,35
4001,Hamarøy - Hábmer (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
4002,Hamarøy - Hábmer (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,6
4003,Hamarøy - Hábmer (-2019),Other housesholds,Households,2019,0
4004,Divtasvuodna - Tysfjord (-2019),Living alone,Households,2019,390
4005,Divtasvuodna - Tysfjord (-2019),Couple without resident children,Households,2019,191
4006,Divtasvuodna - Tysfjord (-2019),Couple with small children (youngest child 0-5 years),Households,2019,46
4007,Divtasvuodna - Tysfjord (-2019),Couple with older children (youngest child 6-17 years),Households,2019,74
4008,Divtasvuodna - Tysfjord (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,7
4009,Divtasvuodna - Tysfjord (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,27
4010,Divtasvuodna - Tysfjord (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,96
4011,Divtasvuodna - Tysfjord (-2019),Two or more-family households without resident children 0-17 years,Households,2019,35
4012,Divtasvuodna - Tysfjord (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,13
4013,Divtasvuodna - Tysfjord (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,10
4014,Divtasvuodna - Tysfjord (-2019),Other housesholds,Households,2019,0
4015,Lødingen,Living alone,Households,2019,397
4016,Lødingen,Couple without resident children,Households,2019,290
4017,Lødingen,Couple with small children (youngest child 0-5 years),Households,2019,44
4018,Lødingen,Couple with older children (youngest child 6-17 years),Households,2019,85
4019,Lødingen,Lone parent with small children (youngest child 0-5 years),Households,2019,12
4020,Lødingen,Lone parent with older children (youngest child 6-17 years),Households,2019,41
4021,Lødingen,One family households with adult children (youngest child 18 years and over,Households,2019,86
4022,Lødingen,Two or more-family households without resident children 0-17 years,Households,2019,34
4023,Lødingen,Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
4024,Lødingen,Two or more-family households with older children (youngest child 6-17 years),Households,2019,3
4025,Lødingen,Other housesholds,Households,2019,0
4026,Tjeldsund (-2019),Living alone,Households,2019,213
4027,Tjeldsund (-2019),Couple without resident children,Households,2019,179
4028,Tjeldsund (-2019),Couple with small children (youngest child 0-5 years),Households,2019,36
4029,Tjeldsund (-2019),Couple with older children (youngest child 6-17 years),Households,2019,60
4030,Tjeldsund (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,1
4031,Tjeldsund (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,21
4032,Tjeldsund (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,49
4033,Tjeldsund (-2019),Two or more-family households without resident children 0-17 years,Households,2019,21
4034,Tjeldsund (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,3
4035,Tjeldsund (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,5
4036,Tjeldsund (-2019),Other housesholds,Households,2019,0
4037,Evenes,Living alone,Households,2019,246
4038,Evenes,Couple without resident children,Households,2019,186
4039,Evenes,Couple with small children (youngest child 0-5 years),Households,2019,40
4040,Evenes,Couple with older children (youngest child 6-17 years),Households,2019,46
4041,Evenes,Lone parent with small children (youngest child 0-5 years),Households,2019,4
4042,Evenes,Lone parent with older children (youngest child 6-17 years),Households,2019,32
4043,Evenes,One family households with adult children (youngest child 18 years and over,Households,2019,54
4044,Evenes,Two or more-family households without resident children 0-17 years,Households,2019,19
4045,Evenes,Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
4046,Evenes,Two or more-family households with older children (youngest child 6-17 years),Households,2019,4
4047,Evenes,Other housesholds,Households,2019,0
4048,Ballangen (-2019),Living alone,Households,2019,462
4049,Ballangen (-2019),Couple without resident children,Households,2019,313
4050,Ballangen (-2019),Couple with small children (youngest child 0-5 years),Households,2019,76
4051,Ballangen (-2019),Couple with older children (youngest child 6-17 years),Households,2019,98
4052,Ballangen (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,8
4053,Ballangen (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,45
4054,Ballangen (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,92
4055,Ballangen (-2019),Two or more-family households without resident children 0-17 years,Households,2019,33
4056,Ballangen (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,11
4057,Ballangen (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,7
4058,Ballangen (-2019),Other housesholds,Households,2019,0
4059,Røst,Living alone,Households,2019,124
4060,Røst,Couple without resident children,Households,2019,54
4061,Røst,Couple with small children (youngest child 0-5 years),Households,2019,8
4062,Røst,Couple with older children (youngest child 6-17 years),Households,2019,18
4063,Røst,Lone parent with small children (youngest child 0-5 years),Households,2019,2
4064,Røst,Lone parent with older children (youngest child 6-17 years),Households,2019,13
4065,Røst,One family households with adult children (youngest child 18 years and over,Households,2019,24
4066,Røst,Two or more-family households without resident children 0-17 years,Households,2019,7
4067,Røst,Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
4068,Røst,Two or more-family households with older children (youngest child 6-17 years),Households,2019,2
4069,Røst,Other housesholds,Households,2019,0
4070,Værøy,Living alone,Households,2019,147
4071,Værøy,Couple without resident children,Households,2019,73
4072,Værøy,Couple with small children (youngest child 0-5 years),Households,2019,26
4073,Værøy,Couple with older children (youngest child 6-17 years),Households,2019,32
4074,Værøy,Lone parent with small children (youngest child 0-5 years),Households,2019,4
4075,Værøy,Lone parent with older children (youngest child 6-17 years),Households,2019,5
4076,Værøy,One family households with adult children (youngest child 18 years and over,Households,2019,26
4077,Værøy,Two or more-family households without resident children 0-17 years,Households,2019,21
4078,Værøy,Two or more-family households with small children (youngest child 0-5 years),Households,2019,1
4079,Værøy,Two or more-family households with older children (youngest child 6-17 years),Households,2019,4
4080,Værøy,Other housesholds,Households,2019,0
4081,Flakstad,Living alone,Households,2019,223
4082,Flakstad,Couple without resident children,Households,2019,154
4083,Flakstad,Couple with small children (youngest child 0-5 years),Households,2019,27
4084,Flakstad,Couple with older children (youngest child 6-17 years),Households,2019,49
4085,Flakstad,Lone parent with small children (youngest child 0-5 years),Households,2019,7
4086,Flakstad,Lone parent with older children (youngest child 6-17 years),Households,2019,22
4087,Flakstad,One family households with adult children (youngest child 18 years and over,Households,2019,65
4088,Flakstad,Two or more-family households without resident children 0-17 years,Households,2019,18
4089,Flakstad,Two or more-family households with small children (youngest child 0-5 years),Households,2019,6
4090,Flakstad,Two or more-family households with older children (youngest child 6-17 years),Households,2019,8
4091,Flakstad,Other housesholds,Households,2019,0
4092,Vestvågøy,Living alone,Households,2019,1949
4093,Vestvågøy,Couple without resident children,Households,2019,1182
4094,Vestvågøy,Couple with small children (youngest child 0-5 years),Households,2019,477
4095,Vestvågøy,Couple with older children (youngest child 6-17 years),Households,2019,524
4096,Vestvågøy,Lone parent with small children (youngest child 0-5 years),Households,2019,68
4097,Vestvågøy,Lone parent with older children (youngest child 6-17 years),Households,2019,182
4098,Vestvågøy,One family households with adult children (youngest child 18 years and over,Households,2019,431
4099,Vestvågøy,Two or more-family households without resident children 0-17 years,Households,2019,157
4100,Vestvågøy,Two or more-family households with small children (youngest child 0-5 years),Households,2019,46
4101,Vestvågøy,Two or more-family households with older children (youngest child 6-17 years),Households,2019,32
4102,Vestvågøy,Other housesholds,Households,2019,0
4103,Vågan,Living alone,Households,2019,1717
4104,Vågan,Couple without resident children,Households,2019,1044
4105,Vågan,Couple with small children (youngest child 0-5 years),Households,2019,368
4106,Vågan,Couple with older children (youngest child 6-17 years),Households,2019,418
4107,Vågan,Lone parent with small children (youngest child 0-5 years),Households,2019,54
4108,Vågan,Lone parent with older children (youngest child 6-17 years),Households,2019,159
4109,Vågan,One family households with adult children (youngest child 18 years and over,Households,2019,333
4110,Vågan,Two or more-family households without resident children 0-17 years,Households,2019,159
4111,Vågan,Two or more-family households with small children (youngest child 0-5 years),Households,2019,35
4112,Vågan,Two or more-family households with older children (youngest child 6-17 years),Households,2019,40
4113,Vågan,Other housesholds,Households,2019,0
4114,Hadsel,Living alone,Households,2019,1450
4115,Hadsel,Couple without resident children,Households,2019,950
4116,Hadsel,Couple with small children (youngest child 0-5 years),Households,2019,297
4117,Hadsel,Couple with older children (youngest child 6-17 years),Households,2019,348
4118,Hadsel,Lone parent with small children (youngest child 0-5 years),Households,2019,53
4119,Hadsel,Lone parent with older children (youngest child 6-17 years),Households,2019,138
4120,Hadsel,One family households with adult children (youngest child 18 years and over,Households,2019,330
4121,Hadsel,Two or more-family households without resident children 0-17 years,Households,2019,107
4122,Hadsel,Two or more-family households with small children (youngest child 0-5 years),Households,2019,26
4123,Hadsel,Two or more-family households with older children (youngest child 6-17 years),Households,2019,12
4124,Hadsel,Other housesholds,Households,2019,0
4125,Bø (Nordland),Living alone,Households,2019,552
4126,Bø (Nordland),Couple without resident children,Households,2019,354
4127,Bø (Nordland),Couple with small children (youngest child 0-5 years),Households,2019,79
4128,Bø (Nordland),Couple with older children (youngest child 6-17 years),Households,2019,101
4129,Bø (Nordland),Lone parent with small children (youngest child 0-5 years),Households,2019,13
4130,Bø (Nordland),Lone parent with older children (youngest child 6-17 years),Households,2019,36
4131,Bø (Nordland),One family households with adult children (youngest child 18 years and over,Households,2019,112
4132,Bø (Nordland),Two or more-family households without resident children 0-17 years,Households,2019,36
4133,Bø (Nordland),Two or more-family households with small children (youngest child 0-5 years),Households,2019,3
4134,Bø (Nordland),Two or more-family households with older children (youngest child 6-17 years),Households,2019,5
4135,Bø (Nordland),Other housesholds,Households,2019,0
4136,Øksnes,Living alone,Households,2019,827
4137,Øksnes,Couple without resident children,Households,2019,488
4138,Øksnes,Couple with small children (youngest child 0-5 years),Households,2019,151
4139,Øksnes,Couple with older children (youngest child 6-17 years),Households,2019,204
4140,Øksnes,Lone parent with small children (youngest child 0-5 years),Households,2019,27
4141,Øksnes,Lone parent with older children (youngest child 6-17 years),Households,2019,61
4142,Øksnes,One family households with adult children (youngest child 18 years and over,Households,2019,169
4143,Øksnes,Two or more-family households without resident children 0-17 years,Households,2019,80
4144,Øksnes,Two or more-family households with small children (youngest child 0-5 years),Households,2019,13
4145,Øksnes,Two or more-family households with older children (youngest child 6-17 years),Households,2019,24
4146,Øksnes,Other housesholds,Households,2019,0
4147,Sortland - Suortá,Living alone,Households,2019,1806
4148,Sortland - Suortá,Couple without resident children,Households,2019,1075
4149,Sortland - Suortá,Couple with small children (youngest child 0-5 years),Households,2019,408
4150,Sortland - Suortá,Couple with older children (youngest child 6-17 years),Households,2019,528
4151,Sortland - Suortá,Lone parent with small children (youngest child 0-5 years),Households,2019,88
4152,Sortland - Suortá,Lone parent with older children (youngest child 6-17 years),Households,2019,210
4153,Sortland - Suortá,One family households with adult children (youngest child 18 years and over,Households,2019,394
4154,Sortland - Suortá,Two or more-family households without resident children 0-17 years,Households,2019,143
4155,Sortland - Suortá,Two or more-family households with small children (youngest child 0-5 years),Households,2019,39
4156,Sortland - Suortá,Two or more-family households with older children (youngest child 6-17 years),Households,2019,33
4157,Sortland - Suortá,Other housesholds,Households,2019,0
4158,Andøy,Living alone,Households,2019,913
4159,Andøy,Couple without resident children,Households,2019,619
4160,Andøy,Couple with small children (youngest child 0-5 years),Households,2019,156
4161,Andøy,Couple with older children (youngest child 6-17 years),Households,2019,211
4162,Andøy,Lone parent with small children (youngest child 0-5 years),Households,2019,23
4163,Andøy,Lone parent with older children (youngest child 6-17 years),Households,2019,69
4164,Andøy,One family households with adult children (youngest child 18 years and over,Households,2019,169
4165,Andøy,Two or more-family households without resident children 0-17 years,Households,2019,66
4166,Andøy,Two or more-family households with small children (youngest child 0-5 years),Households,2019,13
4167,Andøy,Two or more-family households with older children (youngest child 6-17 years),Households,2019,18
4168,Andøy,Other housesholds,Households,2019,0
4169,Moskenes,Living alone,Households,2019,205
4170,Moskenes,Couple without resident children,Households,2019,134
4171,Moskenes,Couple with small children (youngest child 0-5 years),Households,2019,17
4172,Moskenes,Couple with older children (youngest child 6-17 years),Households,2019,45
4173,Moskenes,Lone parent with small children (youngest child 0-5 years),Households,2019,4
4174,Moskenes,Lone parent with older children (youngest child 6-17 years),Households,2019,8
4175,Moskenes,One family households with adult children (youngest child 18 years and over,Households,2019,47
4176,Moskenes,Two or more-family households without resident children 0-17 years,Households,2019,27
4177,Moskenes,Two or more-family households with small children (youngest child 0-5 years),Households,2019,6
4178,Moskenes,Two or more-family households with older children (youngest child 6-17 years),Households,2019,1
4179,Moskenes,Other housesholds,Households,2019,0
4180,Tromsø (-2019),Living alone,Households,2019,16040
4181,Tromsø (-2019),Couple without resident children,Households,2019,8336
4182,Tromsø (-2019),Couple with small children (youngest child 0-5 years),Households,2019,3449
4183,Tromsø (-2019),Couple with older children (youngest child 6-17 years),Households,2019,3598
4184,Tromsø (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,316
4185,Tromsø (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,1217
4186,Tromsø (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,2723
4187,Tromsø (-2019),Two or more-family households without resident children 0-17 years,Households,2019,1748
4188,Tromsø (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,281
4189,Tromsø (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,372
4190,Tromsø (-2019),Other housesholds,Households,2019,0
4191,Harstad - Hárstták (2013-2019),Living alone,Households,2019,4502
4192,Harstad - Hárstták (2013-2019),Couple without resident children,Households,2019,2837
4193,Harstad - Hárstták (2013-2019),Couple with small children (youngest child 0-5 years),Households,2019,994
4194,Harstad - Hárstták (2013-2019),Couple with older children (youngest child 6-17 years),Households,2019,1138
4195,Harstad - Hárstták (2013-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,144
4196,Harstad - Hárstták (2013-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,447
4197,Harstad - Hárstták (2013-2019),One family households with adult children (youngest child 18 years and over,Households,2019,939
4198,Harstad - Hárstták (2013-2019),Two or more-family households without resident children 0-17 years,Households,2019,392
4199,Harstad - Hárstták (2013-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,67
4200,Harstad - Hárstták (2013-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,67
4201,Harstad - Hárstták (2013-2019),Other housesholds,Households,2019,0
4202,Kvæfjord (-2019),Living alone,Households,2019,478
4203,Kvæfjord (-2019),Couple without resident children,Households,2019,346
4204,Kvæfjord (-2019),Couple with small children (youngest child 0-5 years),Households,2019,82
4205,Kvæfjord (-2019),Couple with older children (youngest child 6-17 years),Households,2019,120
4206,Kvæfjord (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,19
4207,Kvæfjord (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,51
4208,Kvæfjord (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,139
4209,Kvæfjord (-2019),Two or more-family households without resident children 0-17 years,Households,2019,39
4210,Kvæfjord (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,7
4211,Kvæfjord (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,15
4212,Kvæfjord (-2019),Other housesholds,Households,2019,0
4213,Skånland (-2019),Living alone,Households,2019,478
4214,Skånland (-2019),Couple without resident children,Households,2019,370
4215,Skånland (-2019),Couple with small children (youngest child 0-5 years),Households,2019,100
4216,Skånland (-2019),Couple with older children (youngest child 6-17 years),Households,2019,131
4217,Skånland (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,15
4218,Skånland (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,41
4219,Skånland (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,125
4220,Skånland (-2019),Two or more-family households without resident children 0-17 years,Households,2019,49
4221,Skånland (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,10
4222,Skånland (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,12
4223,Skånland (-2019),Other housesholds,Households,2019,0
4224,Ibestad (-2019),Living alone,Households,2019,294
4225,Ibestad (-2019),Couple without resident children,Households,2019,190
4226,Ibestad (-2019),Couple with small children (youngest child 0-5 years),Households,2019,40
4227,Ibestad (-2019),Couple with older children (youngest child 6-17 years),Households,2019,37
4228,Ibestad (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,4
4229,Ibestad (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,22
4230,Ibestad (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,59
4231,Ibestad (-2019),Two or more-family households without resident children 0-17 years,Households,2019,22
